258,Ing.,Březina,Tomáš,,21/02/1957,M,,
259,Ing.,Fójcik,Vavřinec,,29/11/1959,M,,
260,Mgr.,Frankl,Michal, ,13/12/1963,M,,
261,Mgr.,Horníková,Zdeňka, ,06/12/1952,Ž,07/12/1998,
262,RNDr.,Huml,Ondřej,,13/04/1953,M,,
263,Prof. Ing.,Klaus,Václav,CSc.,19/06/1941,M,26/01/2000,
264,Ing.,Kočárník,Ivan,CSc.,29/11/1944,M,,
265,,Květák,Tomáš,,30/12/1953,M,,
266,MUDr. Mgr.,Langer,Ivan, ,01/01/1967,M,18/05/1999,
267,Ing.,Nejezchleb,Karel,,01/03/1944,M,,
268,Ing.,Novák,František,CSc.,08/03/1946,M,,
269,Ing.,Papež,Jiří, ,20/10/1965,M,13/04/2000,
270,MVDr.,Pešán,Jaroslav, ,02/10/1946,M,08/12/1998,
271, ,Marcová - Petrová,Jana, ,16/09/1966,Ž,04/12/1996,
272,Ing.,Pilip,Ivan, ,04/08/1963,M,08/12/1998,
273,Ing.,Plachý,Jaroslav, ,04/03/1952,M,06/12/1999,
274,PhDr.,Plechatá,Ivana,,09/08/1965,Ž,,
275,Mgr.,Pleva,Petr, ,13/06/1959,M,01/03/2000,
276, ,Ruml,Jan, ,05/03/1953,M,,
277,Ing.,Sehoř,Karel, ,19/07/1951,M,08/12/1998,
278,Ing.,Švrček,Zdeněk, ,18/03/1956,M,08/12/1998,
279,Ing.,Tyl,Miroslav, ,18/02/1943,M,,
280,Mgr.,Vidím,Jan, ,25/06/1964,M,09/06/1999,
281,Ing.,Vodička,Jindřich, ,22/07/1952,M,,
282,Mgr.,Vojíř,Oldřich,Ph.D.,13/08/1961,M,09/12/1998,
283,Mgr.,Zajíček,Zdeněk,,10/05/1967,M,,
284,Ing.,Zieleniec,Josef,,28/04/1946,M,,
285,Doc.MUDr.,Zvěřina,Jaroslav,CSc.,18/12/1942,M,18/05/1999,
286,Ing.,Bratinka,Pavel, ,14/03/1946,M,,
287,Ing.,Češka,Roman,,29/01/1964,M,,
288,Ing.,Dlouhý,Vladimír,CSc.,31/07/1953,M,,
289,Mgr.,Kroupa,Daniel, ,06/01/1949,M,,
290,RNDr.,Kudláček,Libor, ,18/07/1957,M,,
291,,Kulka,Dušan,,21/05/1962,M,,
292,Ing.,Navrátil,Dušan,,02/07/1955,M,,
293,Mgr.,Prokop,Michal, ,13/08/1946,M,,
294,Ing.,Skalický,Jiří, ,26/04/1956,M,,
295,RNDr.,Ambrozek,Libor, ,02/08/1966,M,24/05/1999,
296,Ing.,Borák,Josef, ,23/09/1957,M,,
297,RNDr.,Holáň,Vilém, ,23/09/1938,M,07/12/1998,
298,JUDr.,Jurková,Pavla,,08/06/1949,Ž,,
299,Ing.,Lux,Josef, ,01/02/1956,M,08/12/1998,22/11/1999
300,Mgr.,Orel,Jaroslav, ,21/12/1951,M,,
301,Ing.,Šojdrová,Michaela, ,28/10/1963,Ž,08/12/1998,
302,Ing.,Talíř,Jaromír, ,09/08/1950,M,09/12/1998,
303,JUDr.,Filip,Vojtěch, ,13/01/1955,M,07/12/1998,
304,Ing.,Gongol,Jaroslav,CSc.,23/03/1937,M,03/08/2000,
305,doc. PhDr.,Grebeníček,Miroslav,CSc.,21/03/1947,M,07/12/1998,
306, ,Houzák,Josef, ,08/11/1943,M,07/12/1998,19/09/2002
307,MUDr.,Jirousová,Taťána, ,11/02/1954,Ž,07/12/1998,
308,Doc.PhDr.,Klanica,Zdeněk,DrSc.,28/11/1938,M,07/12/1998,
309,Ing.,Kováčik,Pavel, ,02/07/1955,M,07/12/1998,
310,MUDr.,Maštálka,Jiří, ,03/01/1956,M,08/12/1998,
311,PhDr.,Ransdorf,Miloslav,CSc.,15/02/1953,M,08/12/1998,22/01/2016
312,JUDr.,Bebarová Rujbrová,Zuzka, ,13/01/1951,Ž,08/12/1998,
313,Doc.PhDr.,Svobodová,Alena,CSc.,04/01/1948,Ž,08/12/1998,
314,,Šimůnek,Petr,,17/02/1965,M,,
315,RSDr.,Škorpilová,Hana,,05/11/1940,Ž,,
316,Ing.genpor,Vacek,Miroslav, ,29/08/1935,M,,
317,Ing.,Vymětal,Karel, ,18/11/1944,M,09/12/1998,
318,,Hrůzová,Vlasta,,06/03/1944,Ž,,
319,,Krampera,Zdeněk,,04/05/1952,M,,
320, ,Krejsa,Josef, ,30/08/1946,M,,
321,,Maixner,Pavel,,23/11/1962,M,,
322,,Nehera,Jindřich,,11/07/1949,M,,
323,,Nývltová,Radomíra,,19/12/1968,Ž,,
324,,Pešková,Jana,,04/12/1950,Ž,,
325,,Rajsiglová,Laura,,10/06/1972,Ž,,
326,PhDr.,Sládek,Miroslav, ,24/10/1950,M,,
327,Ing.,Smetana,Martin,,15/06/1969,M,,
328,,Šmucr,Rudolf,,28/04/1950,M,,
329,,Vrcha,Oldřich,,20/12/1943,M,,
330,Ing.,Vrzáň,Petr,,02/12/1966,M,,
331,Ing.,Zajíc,Petr,,24/05/1972,M,,
332,MUDr.,Zajícová,Blanka,,17/03/1971,Ž,,
333,Ing.,Grůza,Jan, ,03/11/1957,M,07/12/1998,
334,Bc.ing,Procházka,Vladimír,,07/11/1946,M,,
335, ,Kladívko,Tomáš, ,25/11/1957,M,07/12/1998,
336,Ing. RNDr.,Kynčl,Milan,,02/01/1940,M,,
337,Mgr.,Molín,Josef,,16/07/1945,M,,
338,RNDr.,Němec,Igor, ,06/04/1959,M,,
339,,Leština,Miroslav,,25/01/1964,M,,
340,JUDr.,Parkanová,Vlasta, ,21/11/1951,Ž,08/12/1998,
341,,Černota,Jiří,,25/04/1948,M,,
342,Ing.,Šnajdauf,František,,05/02/1954,M,,
343,Ing.,Hrubý,Václav,CSc.,20/10/1946,M,,
344, ,Aubrecht,Vlastimil, ,23/12/1953,M,12/04/2000,
345,PhDr.,Bartoš,Walter,Ph.D.: MBA,23/04/1961,M,07/12/1998,
346,Ing.,Bendl,Petr, ,24/01/1966,M,13/04/2000,
347,Ing.,Beneš,Miroslav, ,05/04/1956,M,26/04/2000,
348, ,Bílý,Jiří, ,22/01/1954,M,26/04/2000,
349, ,Boháčková,Jarmila, ,18/07/1947,Ž,07/12/1998,09/06/2005
350,Ing.,Brousek,Václav, ,12/05/1952,M,07/12/1998,
351,Akad.malíř,Brtnický,Jiří, ,07/01/1948,M,07/12/1998,
352, ,Bubník,Augustin, ,21/11/1928,M,07/12/1998,
353,MUDr.,Cabrnoch,Milan, ,06/08/1962,M,08/12/1999,
